Admin,,,,
Sr.,Courier Name,Country,Zone,Type
1,DHL,United Arab Emirates,1,Export
2,DHL,Bangladesh,1,Export
3,DHL,Bhutan,1,Export
4,DHL,Sri Lanka,1,Export
5,DHL,Maldives,1,Export
6,DHL,Nepal,1,Export
7,DHL,Hong Kong,2,Export
8,DHL,Malaysia,2,Export
9,DHL,Singapore,2,Export
10,DHL,Thailand,2,Export
11,DHL,China,3,Export
12,DHL,Bahrain,4,Export
13,DHL,Iran,4,Export
14,DHL,Jordan,4,Export
15,DHL,Kuwait,4,Export
16,DHL,Lebanon,4,Export
17,DHL,Oman,4,Export
18,DHL,Pakistan,4,Export
19,DHL,Qatar,4,Export
20,DHL,Saudi Arabia,4,Export
21,DHL,Syria,4,Export
22,DHL,Yemen,4,Export
23,DHL,Brunei,5,Export
24,DHL,Indonesia,5,Export
25,DHL,Japan,5,Export
26,DHL,Cambodia,5,Export
27,DHL,"Korea, The D.P.R of",5,Export
28,DHL,"Korea, Republic Of",5,Export
29,DHL,Lao People's Democratic Republic,5,Export
30,DHL,Myanmar,5,Export
31,DHL,Mongolia,5,Export
32,DHL,Macau,5,Export
33,DHL,"Philippines, The",5,Export
34,DHL,East Timor,5,Export
35,DHL,Taiwan,5,Export
36,DHL,Vietnam,5,Export
37,DHL,New Zealand,6,Export
38,DHL,Papua New Guinea,6,Export
39,DHL,Australia,14,Export
40,DHL,Austria,7,Export
41,DHL,Belgium,7,Export
42,DHL,Switzerland,7,Export
43,DHL,"Czech Republic, The",7,Export
44,DHL,Germany,7,Export
45,DHL,Denmark,7,Export
46,DHL,Spain,7,Export
47,DHL,France,7,Export
48,DHL,United Kingdom,7,Export
49,DHL,Hungary,7,Export
50,DHL,"Ireland, Republic Of",7,Export
51,DHL,Italy,7,Export
52,DHL,Liechtenstein,7,Export
53,DHL,Luxembourg,7,Export
54,DHL,Monaco,7,Export
55,DHL,"Netherlands, The",7,Export
56,DHL,Poland,7,Export
57,DHL,Portugal,7,Export
58,DHL,Romania,7,Export
59,DHL,Sweden,7,Export
60,DHL,Slovakia,7,Export
61,DHL,Vatican City State,7,Export
62,DHL,Andorra,8,Export
63,DHL,Bulgaria,8,Export
64,DHL,Belarus,8,Export
65,DHL,Cyprus,8,Export
66,DHL,Estonia,8,Export
67,DHL,Finland,8,Export
68,DHL,Falkland Islands,8,Export
69,DHL,Faroe Islands,8,Export
70,DHL,Guernsey,8,Export
71,DHL,Gibraltar,8,Export
72,DHL,Greenland,8,Export
73,DHL,Greece,8,Export
74,DHL,"Canary Islands, The",8,Export
75,DHL,Israel,8,Export
76,DHL,Iceland,8,Export
77,DHL,Jersey,8,Export
78,DHL,Lithuania,8,Export
79,DHL,Latvia,8,Export
80,DHL,Malta,8,Export
81,DHL,Norway,8,Export
82,DHL,"Russian Federation, The",8,Export
83,DHL,Slovenia,8,Export
84,DHL,Turkey,8,Export
85,DHL,American Samoa,9,Export
86,DHL,Guam,9,Export
87,DHL,Marshall Islands,9,Export
88,DHL,Saipan,9,Export
89,DHL,Mexico,9,Export
90,DHL,Puerto Rico,9,Export
91,DHL,Virgin Islands,9,Export
92,DHL,Antigua,10,Export
93,DHL,Anguilla,10,Export
94,DHL,Argentina,10,Export
95,DHL,Aruba,10,Export
96,DHL,Barbados,10,Export
97,DHL,Bermuda,10,Export
98,DHL,Bolivia,10,Export
99,DHL,Brazil,10,Export
100,DHL,Bahamas,10,Export
101,DHL,Belize,10,Export
102,DHL,Chile,10,Export
103,DHL,Colombia,10,Export
104,DHL,Costa Rica,10,Export
105,DHL,Cuba,10,Export
106,DHL,Dominica,10,Export
107,DHL,Dominican Republic,10,Export
108,DHL,Ecuador,10,Export
109,DHL,Grenada,10,Export
110,DHL,French Guyana,10,Export
111,DHL,Guadeloupe,10,Export
112,DHL,Guatemala,10,Export
113,DHL,Guyana,10,Export
114,DHL,Honduras,10,Export
115,DHL,Haiti,10,Export
116,DHL,Jamaica,10,Export
117,DHL,St. Kitts,10,Export
118,DHL,Cayman Islands,10,Export
119,DHL,St. Lucia,10,Export
120,DHL,Martinique,10,Export
121,DHL,Montserrat,10,Export
122,DHL,Nicaragua,10,Export
123,DHL,Panama,10,Export
124,DHL,Peru,10,Export
125,DHL,Paraguay,10,Export
126,DHL,Suriname,10,Export
127,DHL,El Salvador,10,Export
128,DHL,Turks and Caicos Islands,10,Export
129,DHL,Trinidad and Tobago,10,Export
130,DHL,Uruguay,10,Export
131,DHL,St. Vincent,10,Export
132,DHL,Venezuela,10,Export
133,DHL,Virgin Islands,10,Export
134,DHL,Bonaire,10,Export
135,DHL,Curacao,10,Export
136,DHL,St. Eustatius,10,Export
137,DHL,St. Maarten,10,Export
138,DHL,Nevis,10,Export
139,DHL,St. Barthelemy,10,Export
140,DHL,South Africa,10,Export
141,DHL,Afghanistan,11,Export
142,DHL,Albania,11,Export
143,DHL,Armenia,11,Export
144,DHL,Angola,11,Export
145,DHL,Azerbaijan,11,Export
146,DHL,Bosnia and Herzegovina,11,Export
147,DHL,Burkina Faso,11,Export
148,DHL,Burundi,11,Export
149,DHL,Benin,11,Export
150,DHL,Botswana,11,Export
151,DHL,"Congo, The Democratic Republic",11,Export
152,DHL,Central African Republic,11,Export
153,DHL,Congo,11,Export
154,DHL,Cote d'Ivoire,11,Export
155,DHL,Cook Islands,11,Export
156,DHL,Cameroon,11,Export
157,DHL,Cape Verde,11,Export
158,DHL,Djibouti,11,Export
159,DHL,Algeria,11,Export
160,DHL,Egypt,11,Export
