Pincode,Area,S/C Code,S/C Description,Region,State Code,State Description,ZONE
110001,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110002,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110003,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110004,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110005,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110006,DEL,CP,CP BRANCH OFFICE,NORTH,DH,DELHI,5
110007,DEL,CP,CP BRANCH OFFICE,NORTH,DH,DELHI,5
110008,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110009,DEL,WZR,WAZIRPUR,NORTH,DH,DELHI,5
110010,DEL,DCT,DELHI CANTONMENT,NORTH,DH,DELHI,5
110011,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110012,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110013,DEL,OKH,OKHLA,NORTH,DH,DELHI,5
110014,DEL,OKH,OKHLA,NORTH,DH,DELHI,5
110015,DEL,RMR,RAMA ROAD,NORTH,DH,DELHI,5
110016,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110017,DEL,SET,SAKET,NORTH,DH,DELHI,5
110018,DEL,PSV,PASCHIM VIHAR,NORTH,DH,DELHI,5
110019,DEL,NP,NEHRU PLACE,NORTH,DH,DELHI,5
110020,DEL,OKH,OKHLA,NORTH,DH,DELHI,5
110021,DEL,DCT,DELHI CANTONMENT,NORTH,DH,DELHI,5
110022,DEL,DCT,DELHI CANTONMENT,NORTH,DH,DELHI,5
110023,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110024,DEL,NP,NEHRU PLACE,NORTH,DH,DELHI,5
110025,DEL,MOC,MOHAN CO OP INDL AREA,NORTH,DH,DELHI,5
110026,DEL,RMR,RAMA ROAD,NORTH,DH,DELHI,5
