Admin,,,,,,,,,,,,,,,,,
Export/Import,Doc/Non Doc,Rate Type,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Export,Doc,Fixed,0.001-0.50,1486,1406,1726,1537,2141,2255,1832,3323,1971,3096,3725,1966,3039,1964
Export,Non-Doc,Fixed,0.001-0.50,1537,1527,1726,1630,2031,2255,1844,4156,2028,3109,4198,2002,3459,2073
Export,Doc,Fixed,0.501-1.00,1868,1858,2048,1865,2635,2704,2132,4316,2283,4059,4857,2251,3667,2423
Export,Non-Doc,Fixed,0.501-1.00,1865,1840,2110,1842,2518,2704,2144,5315,2316,4058,4857,2263,4309,2156
Export,Doc,Fixed,1.001-1.50,2159,2178,2459,2156,3083,3142,2433,5300,2444,4526,5511,2493,4347,2866
Export,Non-Doc,Fixed,1.001-1.50,2192,2190,2491,2052,2995,3142,2447,6463,2546,4524,5511,2508,4988,2566
Export,Doc,Fixed,1.501-2.00,2445,2494,2868,2443,3528,3583,2735,6289,2745,4992,6162,2732,5027,3309
Export,Non-Doc,Fixed,1.501-2.00,2519,2532,2871,2259,3469,3583,2747,7612,2861,4992,6162,2749,5668,2960
Export,Non-Doc,Fixed,2.001-2.50,2900,2882,3080,2466,3614,4026,3049,8765,3188,5463,6816,3083,6347,3371
Export,Non-Doc,Fixed,2.501-3.00,3158,3162,3430,2789,3928,4383,3450,9969,3532,5947,7104,3409,6979,3696
Export,Non-Doc,Fixed,3.001-3.50,3415,3442,3781,3112,4243,4741,3850,11174,3876,6431,7392,3736,7610,4022
Export,Non-Doc,Fixed,3.501-4.00,3672,3721,4131,3435,4557,5098,4251,12379,4219,6915,7680,4063,8242,4347
Export,Non-Doc,Fixed,4.001-4.50,3930,4001,4482,3757,4872,5456,4652,13583,4563,7399,7968,4390,8873,4673
Export,Non-Doc,Fixed,4.501-5.00,4187,4280,4833,4080,5186,5813,5052,14788,4906,7883,8256,4717,9505,4998
Export,Non-Doc,Fixed,5.001-5.50,4770,4891,5429,4426,5600,6165,5180,15884,5136,10776,10847,4934,10046,5283
Export,Non-Doc,Fixed,5.501-6.00,5351,5489,6025,4764,6012,6525,5360,16982,5353,13660,13443,5137,10589,5567
Export,Non-Doc,Fixed,6.001-6.50,5933,6087,6620,5103,6424,6886,5539,18079,5570,16544,16039,5340,11131,5851
Export,Non-Doc,Fixed,6.501-7.00,6514,6686,7215,5441,6836,7246,5719,19177,5787,19427,18634,5543,11674,6135
Export,Non-Doc,Fixed,7.001-7.50,7096,7284,7811,5779,7248,7606,5898,20274,6004,22311,21230,5747,12216,6418
Export,Non-Doc,Fixed,7.501-8.00,7677,7882,8406,6117,7659,7967,6078,21372,6221,25194,23825,5950,12759,6702
Export,Non-Doc,Fixed,8.001-8.50,8259,8480,9002,6455,8071,8327,6257,22469,6438,28078,26421,6153,13301,6986
Export,Non-Doc,Fixed,8.501-9.00,8840,9078,9597,6793,8483,8687,6437,23567,6655,30961,29017,6356,13844,7270
Export,Non-Doc,Fixed,9.001-9.50,9422,9676,10192,7131,8895,9048,6616,24664,6872,33845,31612,6559,14386,7554
Export,Non-Doc,Fixed,9.501-10.00,10003,10274,10788,7469,9306,9408,6796,25762,7089,36728,34208,6762,14929,7837
Export,Non-Doc,Fixed,10.001-10.50,10387,10578,10970,7818,9626,9877,7084,26028,7406,36916,34472,7095,15314,8138
Export,Non-Doc,Fixed,10.501-11.00,10771,10881,11152,8167,9946,10345,7371,26293,7723,37104,34737,7427,15699,8438
Export,Non-Doc,Fixed,11.001-11.50,11155,11184,11334,8516,10266,10814,7659,26559,8041,37292,35001,7760,16085,8739
Export,Non-Doc,Fixed,11.501-12.00,11539,11488,11517,8865,10586,11283,7947,26825,8358,37480,35265,8092,16470,9039
Export,Non-Doc,Fixed,12.001-12.50,11923,11791,11699,9215,10906,11752,8235,27090,8675,37668,35530,8425,16855,9340
Export,Non-Doc,Fixed,12.501-13.00,12307,12094,11881,9564,11226,12221,8523,27356,8992,37855,35794,8757,17241,9640
Export,Non-Doc,Fixed,13.001-13.50,12691,12397,12063,9913,11546,12689,8811,27622,9309,38043,36058,9089,17626,9941
Export,Non-Doc,Fixed,13.501-14.00,13075,12701,12246,10262,11866,13158,9099,27887,9626,38231,36323,9422,18011,10241
Export,Non-Doc,Fixed,14.001-14.50,13459,13004,12428,10611,12186,13627,9387,28153,9944,38419,36587,9754,18397,10542
Export,Non-Doc,Fixed,14.501-15.00,13843,13307,12610,10960,12506,14096,9675,28419,10261,38607,36851,10087,18782,10842
Export,Non-Doc,Fixed,15.001-15.50,14227,13610,12792,11310,12826,14565,9963,28685,10578,38794,37115,10419,19167,11143
Export,Non-Doc,Fixed,15.501-16.00,14611,13914,12975,11659,13146,15033,10251,28950,10895,38982,37380,10752,19553,11443
Export,Non-Doc,Fixed,16.001-16.50,14994,14217,13157,12008,13466,15502,10539,29216,11212,39170,37644,11084,19938,11744
Export,Non-Doc,Fixed,16.501-17.00,15378,14520,13339,12357,13786,15971,10827,29482,11529,39358,37908,11417,20323,12044
Export,Non-Doc,Fixed,17.001-17.50,15762,14823,13521,12706,14106,16440,11115,29747,11847,39546,38173,11749,20709,12345
Export,Non-Doc,Fixed,17.501-18.00,16146,15127,13704,13055,14426,16909,11403,30013,12164,39733,38437,12082,21094,12645
Export,Non-Doc,Fixed,18.001-18.50,16530,15430,13886,13405,14746,17377,11691,30279,12481,39921,38701,12414,21479,12946
Export,Non-Doc,Fixed,18.501-19.00,16914,15733,14068,13754,15066,17846,11979,30545,12798,40109,38966,12747,21865,13246
Export,Non-Doc,Fixed,19.001-19.50,17298,16036,14250,14103,15385,18315,12267,30810,13115,40297,39230,13079,22250,13547
Export,Non-Doc,Fixed,19.501-20.00,17682,16340,14433,14452,15705,18784,12555,31076,13433,40485,39494,13412,22635,13847
Export,Non-Doc,Fixed,20.001-21.00,18070,16925,15159,14793,16228,19169,12981,34139,14111,43584,42680,14081,23944,14495
Export,Non-Doc,Fixed,21.001-22.00,18458,17511,15885,15134,16752,19554,13406,37202,14790,46683,45865,14750,25253,15144
Export,Non-Doc,Fixed,22.001-23.00,18846,18097,16611,15475,17275,19940,13832,40265,15469,49782,49051,15419,26562,15792
Export,Non-Doc,Fixed,23.001-24.00,19235,18682,17337,15816,17798,20325,14258,43328,16148,52882,52236,16088,27871,16440
Export,Non-Doc,Fixed,24.001-25.00,19623,19268,18063,16156,18321,20711,14683,46391,16827,55981,55422,16757,29180,17088
Export,Non-Doc,Fixed,25.001-26.00,20011,19854,18790,16497,18844,21096,15109,49454,17506,59080,58607,17426,30489,17737
Export,Non-Doc,Fixed,26.001-27.00,20399,20439,19516,16838,19367,21481,15535,52517,18185,62179,61792,18096,31798,18385
Export,Non-Doc,Fixed,27.001-28.00,20787,21025,20242,17179,19890,21867,15960,55580,18863,65278,64978,18765,33107,19033
Export,Non-Doc,Fixed,28.001-29.00,21175,21611,20968,17520,20413,22252,16386,58643,19542,68378,68163,19434,34416,19681
Export,Non-Doc,Fixed,29.001-30.00,21563,22196,21694,17861,20936,22637,16812,61706,20221,71477,71349,20103,35725,20330
